2019-02-20 15:50:32,930 INFO     [7925] (deoplete.logging) --- Deoplete Log Start ---
2019-02-20 15:50:32,935 INFO     [7925] (deoplete.logging) NVIM v0.4.0-1317-g894f6be, Python 3.6.1, pynvim 0.3.2
2019-02-20 15:50:48,505 DEBUG    [7925] (deoplete.core) on_event: Init
2019-02-20 15:50:48,516 DEBUG    [7925] (deoplete.core) Process 0: /Users/gcman105/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/omni.py
2019-02-20 15:50:48,522 DEBUG    [7925] (deoplete.core) Process 1: /Users/gcman105/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/member.py
2019-02-20 15:50:48,527 DEBUG    [7925] (deoplete.core) Process 2: /Users/gcman105/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/around.py
2019-02-20 15:50:48,535 DEBUG    [7925] (deoplete.core) Process 3: /Users/gcman105/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/file.py
2019-02-20 15:50:48,535 DEBUG    [7925] (deoplete.core) Process 0: /Users/gcman105/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/buffer.py
2019-02-20 15:50:48,535 DEBUG    [7925] (deoplete.core) Process 1: /Users/gcman105/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/dictionary.py
2019-02-20 15:50:48,535 DEBUG    [7925] (deoplete.core) Process 2: /Users/gcman105/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/tag.py
2019-02-20 15:50:48,538 DEBUG    [7925] (deoplete.core) Process 3: /Users/gcman105/.vim/plugged/deoplete-jedi/rplugin/python3/deoplete/sources/deoplete_jedi.py
2019-02-20 15:50:48,538 DEBUG    [7925] (deoplete.core) Process 0: /Users/gcman105/.vim/plugged/deoplete-zsh/rplugin/python3/deoplete/sources/deoplete_zsh.py
2019-02-20 15:50:48,538 DEBUG    [7925] (deoplete.core) Process 1: /Users/gcman105/.vim/plugged/ultisnips/rplugin/python3/deoplete/sources/ultisnips.py
2019-02-20 15:50:48,539 DEBUG    [7925] (deoplete.core) Process 2: /Users/gcman105/.vim/plugged/neoinclude.vim/rplugin/python3/deoplete/sources/file_include.py
2019-02-20 15:50:48,539 DEBUG    [7925] (deoplete.core) Process 3: /Users/gcman105/.vim/plugged/nvim-typescript/rplugin/python3/deoplete/sources/typescript.py
2019-02-20 15:50:48,579 DEBUG    [7925] (deoplete.core) on_event: BufReadPost
2019-02-20 15:50:48,797 INFO     [7934] (deoplete.logging) --- Deoplete Log Start ---
2019-02-20 15:50:48,798 INFO     [7934] (deoplete.logging) NVIM v0.4.0-1317-g894f6be, Python 3.6.1, pynvim 0.3.2
2019-02-20 15:50:48,800 INFO     [7933] (deoplete.logging) --- Deoplete Log Start ---
2019-02-20 15:50:48,801 DEBUG    [7934] (deoplete.child) Loaded Source: member (/Users/gcman105/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/member.py)
2019-02-20 15:50:48,801 INFO     [7933] (deoplete.logging) NVIM v0.4.0-1317-g894f6be, Python 3.6.1, pynvim 0.3.2
2019-02-20 15:50:48,802 DEBUG    [7934] (deoplete.child) Loaded Source: dictionary (/Users/gcman105/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/dictionary.py)
2019-02-20 15:50:48,803 DEBUG    [7934] (deoplete.child) Loaded Source: ultisnips (/Users/gcman105/.vim/plugged/ultisnips/rplugin/python3/deoplete/sources/ultisnips.py)
2019-02-20 15:50:48,803 DEBUG    [7934] (deoplete.child) Set Source attributes: member
2019-02-20 15:50:48,804 DEBUG    [7934] (deoplete.child) Attribute: converters (['converter_remove_overlap', 'converter_truncate_abbr', 'converter_truncate_kind', 'converter_truncate_menu'])
2019-02-20 15:50:48,804 DEBUG    [7933] (deoplete.child) Loaded Source: omni (/Users/gcman105/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/omni.py)
2019-02-20 15:50:48,804 DEBUG    [7934] (deoplete.child) Attribute: disabled_syntaxes ([])
2019-02-20 15:50:48,804 DEBUG    [7934] (deoplete.child) Attribute: dup (False)
2019-02-20 15:50:48,804 DEBUG    [7934] (deoplete.child) Attribute: filetypes ([])
