"id","customer_id","company","add_1","add_2","contact","country","county","dnprices","email","email2","fax","inv_opt","memo","phone_1","phone_2","post_code","town","vat_num","website","zid"
1,"29","Christine Fordham","No 29 St Pauls Crescent","","","","Isle of Wight",t,"","","",0,"","01983 641773","","","Shanklin","","","1099166000000643885"
2,"34","Beach Cafe 34","34 The Esplanade","","David/Gary","","Isle of Wight",t,"","","",0,"","01983 862777","07990855238","PO37 6BG","Shanklin","","","1099166000004152553"
3,"AAAtest","A TEST COMPANY DO","Testing","14 Test Road","A Tester","TT","Test County",t,"accounts@tester.com","sales@tester.com","01983 135790",0,"This is a test customer.","01983 123456","07912 987654","TE1 5TER","Testtown","VAT1234","www.tester.co.uk","1099166000000170009"
4,"AK","A K Hotfood","Golden Hill Park","Norton Green","Adam Seaward","","Isle of Wight",t,"adamseaward80@gmail.com","","",0,"","07948625557","07493 520819","PO409UJ","Freshwater","","","1099166000005114207"
5,"ALB2","HTP(IOW)Ltd/Albert Cottage Hotel","118-119 St James Street","","","","Isle of Wight                  01983 299",t,"marion.mason@htp.ac.uk","","",0,"LUKE HEAD CHEF 07153647648  TERI MANAGER","01983 299309","01983 533926 HTP","PO30 5HE","NEWPORT","","","1099166000000170769"
6,"ALE","Ale & Oyster Bar","The Esplanade","","","","Isle of Wight                 01983 8570",t,"ginfizz69@yahoo.co.uk","","",0,"Shaun and Jim - owners -(07756075751 SHAUN chef)","01983 857025","","PO38 1JX","Ventnor","","","1099166000000643897"
7,"ARR","Arreton Barn","Main Road","","","","Isle of Wight                   01983 53",t,"leehext@hotmail.com","","",0,"","01983 539363","07855 773446 lee","","Arreton","","","1099166000000643909"
8,"ART1","Artisan Kitchen","24 Union Street","","Massimo","","Isle of Wight                   01983 56",t,"martin.bullock@live.co.uk","massimococuzza@yahoo.it","",0,"","01983 568555","","PO33 2DT","Ryde","","","1099166000002498211"
9,"ART2","Artisan Kitchen","24 Union Street","","","","Isle of Wight",t,"","","",0,"","01983568555","","PO33 2DT","Ryde","","","1099166000007290116"
10,"BAN","BANANA TREE","","","ANGELA BURTON","","",t,"","","",0,"","07425163660","","","","","","1099166000000170029"
11,"BAR","Bargemans' Rest","Little London Quay","","","","Isle of Wight                    01983 5",t,"dave.walters76@hotmail.co.uk","info@bargemansrest.com","525660",0,"Dave - 07826542562","01983 525828","","","Newport","","","1099166000000643921"
12,"BAY","Baywatch On The Beach ","The Duver","","Paul Nowlson","","Isle of Wight",t,"paulknowlson@aol.com","","",0,"07707129609 RICH","01983 873259","","PO33 1YB","St Helens","","","1099166000009624667"
14,"BEA2","BEACH SHACK STEEPHILL","Steephill Cove","","Andy/Richard","","Isle of Wight",t,"","","",0,"","","","","Ventnor","","","1099166000000170039"
15,"BEAR","Honnor & Jeffrey","Newport Road","","","","Isle of Wight",t,"","","",0,"Helen Marney","01983 868602","","PO36 9PJ","SANDOWN","","","1099166000000147583"
16,"BED2","Bedford Lodge","Chine Avenue Shanklin Old Village","","Gary Day","","Isle Of Wight                 01983 8624",t,"mail@bedfordlodge.co.uk","","",0,"","","01983 862416","PO37 6AA","Shanklin","","","1099166000001200039"
17,"BEL","The Belmont Hotel","8 Queens Rd,","","","","Isle of Wight",t,"enquiries@belmont-iow.co.uk","","",0,"","01983 862864","","PO37 6AN","Shanklin","","",""
18,"BEN","BENDULA","5 Union Street","","Denise and Abraham","","Isle of Wight                 0198356646",t,"","","",0,"ABES 07786669762","01983566466","","PO33 2DU","Ryde","","","1099166000000147133"
19,"BEN2","Benjamins Bar & Bistro Ltd","36-38 High Street","","Amber Hulmes","","Isle of Wight",t,"amberhulmes@gmail.com","","",0,"","01983 864900","","PO37 6JY","Shanklin","","",""
20,"BEST","Besty & Spinky's","Ocean Blue Quay, Eastern Esplanade","","","","Isle of Wight",t,"","","",0,"","01983 857444","","PO38 1JR","Ventnor","","","1099166000003574676"
21,"BLA","Blackgang Chine","Blackgang Chine","","","","Isle of Wight",t,"ross.groves@vectisventures.co.u","","",0,"","","","PO38 2HN","Ventnor","","","1099166000003612389"
22,"BLA1","Burrows Pub Management T/A Blacksmith Arms","Calbourne Rd","","Rob & Rachael Burrows","","Isle of Wight",t,"blacksmithsiow@gmail.com","","",0,"","01983 529263","","PO30 5SS","Newport","","",""
23,"BOA4","The Boathouse","Steephill Cove","","Vanessa Wheeler","","Isle of Wight                 01983 8527",t,"","","",0,"","01983 852747","","PO38 1UG","Ventnor","","","1099166000000170539"
24,"BOAT","The Boathouse (IOW) Ltd","Springvale Road","","","","Isle of Wight                 01983 8106",t,"centraloffice@innsofdistinction.co.uk","","",0,"MARTIN PERSONAL 07495480624","01983 810616","","PO34 5AW","Seaview","","","1099166000000173229"
25,"BRA","Brading Haven Yacht Club","Embankment Rd","","CHRIS WEBB/ EMILY COX","","Isle of Wight",t,"","info@saint-valentine.co.uk","",0,"","01983 872289","07594686113","PO33 1XQ","Ryde","","","1099166000000643945"
26,"BRE","Uavend Investments (The Breeze) LLP ","Island Harbour Marina","","SCOTT (CHEF)","","Isle of Wight                 01983 5333",t,"info@island-harbour.co.uk","","",0,"Darren 539994","01983 533388","","PO30 2LA","NEWPORT","327491685","","1099166000000148463"
27,"BRI","BRITISH LEGION","","","","","",t,"","","",0,"","","","","","","","1099166000000643957"
28,"BRID","Briddlesford Farm Shop ","","","","","",t,"","","",0,"","","","","","","","1099166000009663491"
29,"BROO","BROOKEY IOW","23 High Street",,"ANDY BROOKE","United Kingdom","Isle of Wight",t,"andybrooke6@gmail.com",,,0,"SORT 54-10-34 ACC 18477259","293129","07710996617","PO31 7RY","Cowes",,,"1099166000000147183"
30,"BRUN","Fancy Hotels Ltd t/a The Brunswick","5 Queens Rd","","","","Isle of Wight",t,"enquiries@brunswick-hotel.co.uk","","",0,"PAUL HAYWARD BUYER 07808184464 JENNA DOES ACC","01983863245","","PO37 6AN","Shanklin","328924085","","1099166000007810541"
31,"BUD1","Character Inns IOW Ltd / Buddle Inn","St Catherine's Road","","","","Isle of Wight",t,"buddleinn@btinternet.com","","",0,"","01983730243","","PO38 2NE","Niton","","","1099166000005012909"
32,"BUG","Character Inns IOW Ltd / Bugle Yarmouth","The Square","","","","Isle of Wight",t,"buglecoachinginn@btconnect.com","","",0,"","01983760272","","PO41 0NS","Yarmouth","","","1099166000005012964"
33,"BUG2","West Wight Pubs / Bugle Brading","56-57 High St","","","","Isle of Wight",t,"info@buglebrading.co.uk","","",0,"","01983407359","","PO36 0DQ","Sandown","","","1099166000005013324"
34,"BUR","Burlington Hotel","5-9 Avenue Road","","","","Isle of Wight",t,"martin@shanklinbeachhotel.com","","",0,"","01983 403702","","PO36 8BN","Sandown","","","1099166000000643967"
35,"CAF","Caffe Isola","85A St James' St","","Vivianna Burgess","","Isle of Wight",t,"vivcali@yahoo.it","","",0,"","01983 524800","","PO30 1LG","Newport","","","1099166000007266431"
36,"CASH","Cash Purchases Various","","","","","",t,"","","",0,"","","","","","","","1099166000000643991"
37,"CAT2","The Catertemp Group","1 Rew Farm Cottages, Rew Lane","","Daniel Ashley Walker","","Isle of Wight",t,"","","",0,"","07800735070","01983 855022 OFFICE","PO38 3AX","VENTNOR","","","1099166000001200064"
38,"CAULK","Character Inn IOW Ltd/ Caulkhead","42 Avenue Road","","","","Isle of Wight",t,"caulkheads405080@gmail.com","","",0,"MATT CHEF 07747888223","01983405080","","PO36 8AY","Sandown","","","1099166000005013014"
40,"CHA1","Fancy Hotels Ltd t/a The Channel View Hotel","24 Hope Road","","","","Isle of Wight",t,"enquiries@channelviewhotel.co.uk","","",0,"","01983 862309","","PO37 6EH","Shanklin","","","1099166000009565002"
41,"CHEQ","Larks Pub Company Ltd t/a Chequers Inn","Niton Rd","","","","Isle of Wight",t,"mark@chequersinn-iow.co.uk","steve@chequersinn-iow.co.uk","",0,"nicola is the lady in charge of payments","01983 840314","","PO38 3NZ","Rookley","","","1099166000009094199"
42,"CHEST","Chestnuts Hotel","4 Hope Road","","Hayley and Nick Clark","","Isle of Wight               01983 862162",t,"info@thechestnutsshanklin.co.uk","","",0,"","01983 862162","","PO37 6EA","Shanklin","","","1099166000000147213"
43,"CHR","CHRIS'S","2-4 St Thomas Square","","CHRIS","","Isle of Wight",t,"","","",0,"","01983 528338","","PO30 1SN","NEWPORT","","","1099166000000170119"
44,"CIB","Cibo","9 High St,","","","","Isle Of Wight",t,"olivo@live.co.uk","","",0,"","","","PO33 4PF","Wootton","","","1099166000003281001"
45,"CLA","Claremont Guest House","4 Eastmount Road","","Mrs Holland","","Isle of Wight",t,"","","",0,"","01983 862083","","PO37 6DN","Shanklin","","","1099166000000170129"
46,"CLI","Clifton Hotel","1 Queens Road","","Caris Hopkins/ David Beeson","","Isle of Wight",t,"reception@thecliftonshanklin.co.uk","reception@thecliftonshanklin.co.uk","",0,"","01983 863015","","PO37 6AN","Shanklin","","","1099166000000170139"
48,"COP2","Copper Kettle","29 High Street","","John and Fiona Page","","Isle of Wight",t,"","","",0,"","07949 847047","","","Shanklin","","","1099166000000147253"
50,"CRA","Crab Inn","94 High Street","","","","Isle of Wight",t,"","","",0,"","01983 862363","","PO37 6NS","Shanklin","","","1099166000000644049"
51,"CRA2","Crab and Lobster Tap","Grove Road","","DAVID WHEEDON","","Isle of Wight           852311",t,"","","",0,"","852311","07944101002","PO38 1TH","VENTNOR","","","1099166000000147303"
52,"CRA3","Character Inns IOW Ltd / Crab & Lobster","32, Forelands Field Rd","","","","Isle of Wight",t,"info@crabandlobsterinn.co.uk","","",0,"","01983872244","","PO35 5TR","Bembridge","","","1099166000005013164"
53,"CROW","West Wight Pubs / Crown Inn","Walkers Lane","","","","Isle of Wight",t,"info@thecrowninnshorewell.co.uk","","",0,"","01983740293","","PO30 3JZ","Newport","","","1099166000005013269"
54,"CUC","Antica Roma Ltd","Forresters Hall High Street","","Constantin Balan","","Isle of Wight         07828441443",t,"","","",0,"07716380304 NICK MOBILE","01983 761176","07828441443 COSTA","PO41 0PL","Yarmouth","","","1099166000000147703"
55,"CUL","The Culver Haven Inn","Culver Down Rd,","","","","Isle Of Wight",t,"","","",0,"","01983 406107","","PO36 8QT","Sandown","","",""
56,"DAI","Daishs Hotel","91 High Street","","","","Isle of Wight",t,"laura.collings@daishs.com","","",0,"A/c 01803 209430 FAX 01803 209431","01983 862274","","PO37 6NR","Shanklin","","","1099166000000644061"
57,"DBF","DB Foods","Unit L Fulchrum Business Park","Vantage Way","","","Dorset",t,"","","",0,"","","","BH12 4NU","Poole","","","1099166000000644073"
58,"DD","DD'S","DD'S","57 HIGH STREET","DEBBIE NORMAN & MARK PATTERSON","United Kingdom","IOW",t,"","","",0,"","07968110840","","PO376JJ","SHANKLIN","","",""
59,"DOW","E E Downer Family Butcher","1 St James' St,","","Greg Downer","","Isle of Wight               01983 522392",t,"","","",0,"","01983 522392","","PO30 5HE","Newport","","","1099166000002498242"
60,"DUM","DUMPLING DUMPLING","21 ROYAL  ARCHITECTS ROAD",,"NATALIE STIRRUP","United Kingdom",,t,,,,0,"","07875583397",,"PO32 6FL","East Cowes",,,"1099166000004987235"
61,"EAS","East Dene Centre","Bonchurch Village Road","","","","Isle of Wight             01983 852374",t,"karen.goode@allnatt.co.uk","","",0,"","01983 852374","01983 856007","PO38 1RQ","Ventnor","","","1099166000000644083"
62,"EFOO","E- Foods","Willow House Orbital 24 Oldham St","","","","Manchester",t,"","","",0,"","","","M34 3SU","Denton","","","1099166000000644095"
64,"EMH","Earl Mountbatten Hospice","Halberry Lane","","VERA 07723007593","","Isle of Wight           01983 529511",t,"Sueli.Hopkins@chandcogroup.com","vera.mircescu@iwhospice.org","",0,"","01983 529511","","PO30 2ER","Newport","","","1099166000000147363"
65,"END","Honor and Jeffrey","Afton Road","","Petrina Honor","","Isle of Wight            01983 752870",t,"","","",0,"","01983 752870","","PO40 9UH","Freshwater","","","1099166000000147583"
66,"ESP2","Royal Esplanade Hotel","16 Esplanade","","","","Isle of Wight            01983 562549",t,"accounts@pslplan.co.uk","","",0,"MALCOM IS THE CHEF - Shella does Accs","01983 562549","02392481999 ACC","PO33 2ED","Ryde","","","1099166000000170669"
67,"FARM","Farmhouse Fayre","Ash Hill Farm","","Abbie Morris","","Isle of Wight",t,"abbiemorris185@hotmail.co.uk","","",0,"","07814236209","019830551183","","","","farmhousefayre.co.uk","1099166000008468003"
68,"FAW","The Fawley","12 Hope Road","","Debbie/Mark Jones","","Isle of Wight            01983 868898",t,"info@thefawley.co.uk","","",0,"","01983 868898","07866106834","PO37 6EA","Shanklin","","","1099166000002498273"
