"id","product","short_description","description","print_order","price","per","unit","vat_rate","shelf_life_days","product_zid","category_id"
2,"1 Test 2","ERROR PRODUCT","this is a long sentance this is a long sentance this is a long sentance this is",99,1.80,1,"KG",0,0,,17
3,"150x300","VACUUM POUCHES 150X300","",99,0.00,0,"IN",0,0,,10
4,"200X250","VACUUM POUCHES 200X250","",99,0.00,0,"IN",0,0,,10
5,"250X250","VACUUM POUCHES 250X250","",99,0.00,0,"IN",0,0,,10
6,"250X300","250X300 VACUUM POUCHES","",99,72.85,1,"EA",0,0,,12
7,"300X350","VACUUM POUCHES 300X350","",99,35.00,1,"EA",0,0,,10
8,"3V62","CORNED BEEF CURE 3V62","",99,0.00,0,"IN",0,0,,10
9,"400X400","VAC POUCHES 400X400 (500)","",99,85.00,1,"EA",0,0,,12
10,"400X600","VACUUM POUCHES 400X600","",99,0.00,0,"IN",0,0,,10
11,"ALP","ALPHA 8 IP","",99,0.00,0,"IN",0,0,,10
13,"APPLE","APPLE","",99,0.00,0,"IN",0,0,,10
14,"B*STARD","BILLYS B*STARD PORK BUTCHERS STYLE SAUSAGE 6","",99,3.95,1,"KG",0,0,,16
15,"BA/CH","BACON CHOPS","",99,4.10,1,"KG",0,0,,1
19,"BA/MI","BACON MINCE","",99,1.87,1,"KG",0,1,,1
20,"BA/PI","BACON PIECES","",99,1.90,1,"KG",0,90,,1
23,"BA/RL","BACK BACON R/LESS LOW WATER/SALT","",99,4.25,1,"KG",0,21,,1
25,"BA/RL/SM","OWN SMOKED BACK BACON RINDLESS","",99,4.25,1,"KG",0,21,,1
26,"BA/ST","BACON STREAKY GREEN","",99,5.40,1,"KG",0,21,,1
27,"BA/ST/SM","BACON STREAKY SMOKED","",99,5.80,1,"KG",0,21,,1
28,"BAL","BALSAMIC VINEGAR","",99,0.00,0,"IN",0,0,,10
29,"BBQ/MEG","Mega BBQ Pack","",99,40.00,1,"EA",0,0,,12
30,"BBQ/MIN","Mini BBQ Pack","",99,25.00,1,"EA",0,0,,12
31,"BE/8","BEEF SAUSAGE 8s","",99,3.30,1,"KG",0,0,,16
32,"BE/BO","BEEF BONES","",99,0.40,1,"KG",0,0,,2
33,"BE/CH/EY/IW","BEEF CHUCK EYE IOW","BEEF CHUCK EYE IW",99,7.65,1,"KG",0,0,,2
34,"BE/CH/RO","BEEF CHUCK ROLL","",99,5.50,1,"KG",0,0,,2
37,"BE/FA"," BEEF FAT","",99,1.40,1,"KG",0,0,,2
38,"BE/FL","BEEF FLANK","",99,4.00,1,"KG",0,0,,2
39,"BE/FO/BI","BEEF FORERIB BONE IN","",99,9.90,1,"KG",0,0,,2
40,"BE/FO/BI/IW","BEEF FORERIB BONE IOW REARED","",99,9.90,1,"KG",0,0,,2
